Mes,Casos Covid-19
2,11.0
3,11.0
4,11.0
5,11.0
6,11.0
7,11.0
8,11.0
9,11.0
10,12.0
11,13.0
12,14.0
13,15.0
14,10.0
15,33.0
16,69.0
17,107.0
18,145.0
19,222.0
20,356.0
21,539.0
22,754.0
23,921.0
24,1088.0
25,1255.0
26,1422.0
27,1589.0
28,1756.0
29,1931.0
30,2169.0
31,2419.0
32,2670.0
33,2920.0
34,3170.0
35,3420.0
36,3670.0
37,3920.0
38,4170.0
39,4766.0
40,6030.0
41,6914.0
42,7334.0
43,7754.0
44,8196.0
45,8638.0
46,9080.0
47,9522.0
48,9963.0
49,10405.0
50,10847.0
51,11289.0
52,11731.0
53,12173.0
54,12615.0
55,13057.0
56,13499.0
57,13940.0
58,14382.0
